H_forward (A/m),B_forward_smoothed (T),H_reverse (A/m),B_reverse_smoothed (T)
33.760000000000005,1.483531999999988e-05,-33.440000000000005,-1.5384979999999632e-05
33.760000000000005,1.4830559999999879e-05,-33.440000000000005,-1.5383099999999633e-05
33.44,1.482427999999988e-05,-33.44,-1.5380499999999634e-05
33.440000000000005,1.481643999999988e-05,-33.279999999999994,-1.537709999999963e-05
33.28000000000001,1.4807119999999882e-05,-33.44,-1.5372819999999628e-05
33.44000000000001,1.479635999999988e-05,-33.12,-1.5367659999999623e-05
32.96000000000001,1.478411999999988e-05,-32.96,-1.5361619999999627e-05
33.12000000000002,1.4770439999999881e-05,-32.64,-1.5354699999999628e-05
32.960000000000015,1.4755439999999882e-05,-32.64000000000001,-1.534689999999963e-05
32.80000000000001,1.4739159999999881e-05,-32.32000000000001,-1.533829999999963e-05
32.32000000000001,1.4721639999999882e-05,-32.160000000000004,-1.5328899999999636e-05
32.320000000000014,1.4702959999999882e-05,-32.0,-1.531869999999963e-05
31.84000000000002,1.4683159999999884e-05,-32.0,-1.5307779999999632e-05
31.84000000000002,1.4662199999999881e-05,-31.519999999999992,-1.5296139999999634e-05
31.360000000000014,1.4640079999999884e-05,-31.360000000000003,-1.5283779999999634e-05
31.04000000000002,1.4616799999999887e-05,-31.04000000000001,-1.527069999999963e-05
30.880000000000017,1.4592359999999885e-05,-30.720000000000006,-1.5256899999999629e-05
30.560000000000013,1.4566799999999886e-05,-30.079999999999995,-1.5242299999999625e-05
29.760000000000012,1.4540239999999883e-05,-29.920000000000005,-1.5226899999999622e-05
29.44000000000001,1.451275999999988e-05,-29.279999999999994,-1.5210699999999627e-05
29.120000000000005,1.448439999999988e-05,-29.119999999999983,-1.5193619999999625e-05
28.479999999999997,1.4455199999999885e-05,-28.479999999999997,-1.5175659999999626e-05
28.0,1.442519999999988e-05,-28.160000000000014,-1.5156899999999626e-05
27.84000000000001,1.4394399999999882e-05,-27.520000000000003,-1.5137379999999626e-05
27.200000000000024,1.4362799999999884e-05,-27.2,-1.5117099999999629e-05
26.880000000000017,1.4330439999999885e-05,-26.560000000000013,-1.5096179999999629e-05
26.24000000000001,1.4297319999999879e-05,-26.24000000000001,-1.507465999999963e-05
25.920000000000005,1.4263439999999882e-05,-25.6,-1.505249999999963e-05
25.120000000000005,1.422883999999988e-05,-25.279999999999994,-1.5029699999999628e-05
24.95999999999999,1.4193559999999873e-05,-24.639999999999986,-1.5006339999999632e-05
24.160000000000014,1.415755999999987e-05,-24.15999999999999,-1.4982539999999648e-05
23.680000000000042,1.4120839999999871e-05,-23.359999999999967,-1.4958339999999656e-05
22.880000000000017,1.4083479999999882e-05,-22.87999999999995,-1.4933699999999657e-05
22.55999999999999,1.4045519999999882e-05,-21.91999999999996,-1.4908659999999662e-05
21.44000000000001,1.4006999999999886e-05,-21.439999999999962,-1.488321999999966e-05
20.95999999999999,1.396799999999988e-05,-20.639999999999965,-1.4857299999999647e-05
20.15999999999999,1.3928559999999874e-05,-20.319999999999983,-1.4830979999999627e-05
19.520000000000028,1.3888639999999858e-05,-19.519999999999982,-1.4804339999999628e-05
18.560000000000038,1.3848239999999851e-05,-19.039999999999964,-1.4777379999999628e-05
18.24000000000001,1.3807439999999858e-05,-18.079999999999973,-1.4750099999999629e-05
17.28000000000002,1.3766239999999861e-05,-17.439999999999962,-1.4722499999999627e-05
16.640000000000008,1.3724639999999856e-05,-16.319999999999983,-1.4694499999999642e-05
15.679999999999973,1.3682719999999851e-05,-15.840000000000009,-1.4666019999999644e-05
15.2,1.3640559999999851e-05,-14.880000000000019,-1.4637059999999636e-05
14.080000000000018,1.3598119999999842e-05,-14.240000000000009,-1.4607619999999636e-05
13.6,1.3555439999999837e-05,-13.280000000000019,-1.4577699999999645e-05
12.64000000000001,1.3512599999999844e-05,-12.8,-1.4547299999999645e-05
12.160000000000036,1.3469559999999847e-05,-11.840000000000009,-1.4516459999999644e-05
11.04000000000001,1.3426279999999855e-05,-11.2,-1.4485179999999646e-05
10.559999999999992,1.3382719999999854e-05,-10.240000000000009,-1.4453379999999644e-05
9.440000000000008,1.3338839999999852e-05,-9.759999999999991,-1.4420939999999641e-05
8.8,1.3294599999999859e-05,-8.64000000000001,-1.4387739999999638e-05
7.679999999999973,1.3249999999999851e-05,-8.0,-1.435365999999964e-05
7.2,1.3204999999999835e-05,-7.040000000000009,-1.4318579999999647e-05
6.080000000000018,1.315951999999983e-05,-6.559999999999991,-1.4282419999999633e-05
5.6,1.3113439999999839e-05,-5.440000000000009,-1.4245139999999627e-05
4.6400000000000095,1.306667999999983e-05,-4.8,-1.4206739999999629e-05
